,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
167,22020,1610612759,SAS,San Antonio Spurs,0022000105,2021-01-05,SAS @ LAC,W,241,116,44,96,0.458,20,40,0.5,8,11,0.727,11,33,44,23,9,3,10,13,3.0
168,22020,1610612759,SAS,San Antonio Spurs,0022000089,2021-01-03,SAS vs. UTA,L,240,109,44,105,0.419,6,19,0.316,15,21,0.714,14,31,45,23,13,4,7,16,-21.0
169,22020,1610612759,SAS,San Antonio Spurs,0022000075,2021-01-01,SAS vs. LAL,L,241,103,36,85,0.424,13,34,0.382,18,26,0.692,8,37,45,23,3,8,13,20,-6.0
170,22020,1610612759,SAS,San Antonio Spurs,0022000060,2020-12-30,SAS vs. LAL,L,239,107,40,87,0.46,10,24,0.417,17,23,0.739,7,32,39,25,8,4,10,18,-14.0
171,22020,1610612759,SAS,San Antonio Spurs,0022000034,2020-12-27,SAS @ NOP,L,239,95,38,89,0.427,11,36,0.306,8,8,1.0,4,43,47,26,5,10,15,23,-3.0
172,22020,1610612759,SAS,San Antonio Spurs,0022000027,2020-12-26,SAS vs. TOR,W,240,119,47,100,0.47,14,34,0.412,11,16,0.688,14,39,53,36,4,3,16,20,5.0
173,22020,1610612759,SAS,San Antonio Spurs,0022000017,2020-12-23,SAS @ MEM,W,240,131,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,12.0
174,12020,1610612759,SAS,San Antonio Spurs,0012000034,2020-12-17,SAS @ HOU,L,239,106,36,88,0.409,7,33,0.212,27,32,0.844,9,32,41,17,8,4,13,16,-22.0
175,12020,1610612759,SAS,San Antonio Spurs,0012000026,2020-12-15,SAS @ HOU,L,240,98,36,84,0.429,10,31,0.323,16,27,0.593,11,32,43,23,12,3,20,22,-14.0
176,12020,1610612759,SAS,San Antonio Spurs,0012000008,2020-12-12,SAS vs. OKC,L,240,108,38,101,0.376,15,38,0.395,17,25,0.68,11,34,45,23,11,6,10,23,-14.2
177,22019,1610612759,SAS,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,239,112,39,79,0.494,10,20,0.5,24,36,0.667,9,35,44,24,4,8,15,20,-6.0
178,22019,1610612759,SAS,San Antonio Spurs,0021901298,2020-08-11,SAS vs. HOU,W,240,123,46,93,0.495,13,32,0.406,18,20,0.9,9,50,59,28,10,5,22,20,18.0
179,22019,1610612759,SAS,San Antonio Spurs,0021901287,2020-08-09,SAS @ NOP,W,241,122,40,89,0.449,11,28,0.393,31,32,0.969,15,36,51,22,12,6,17,27,9.0
