,id,full_name,first_name,last_name,is_active
3834,1630250,Marko Simonovic,Marko,Simonovic,True
3835,1629014,Anfernee Simons,Anfernee,Simons,True
3836,54,Dickey Simpkins,Dickey,Simpkins,False
3837,202067,Diamon Simpson,Diamon,Simpson,False
3838,78157,Ralph Simpson,Ralph,Simpson,False
3839,1591,Alvin Sims,Alvin,Sims,False
3840,78160,Bob Sims,Bob,Sims,False
3841,201235,Courtney Sims,Courtney,Sims,False
3842,78159,Doug Sims,Doug,Sims,False
3843,203156,Henry Sims,Henry,Sims,False
3844,1630579,Jericho Sims,Jericho,Sims,True
3845,78161,Scott Sims,Scott,Sims,False
3846,202713,Kyle Singler,Kyle,Singler,False
3847,201606,Sean Singletary,Sean,Singletary,False
3848,202698,Chris Singleton,Chris,Singleton,False
3849,101189,James Singleton,James,Singleton,False
3850,78162,Mckinley Singleton,Mckinley,Singleton,False
3851,78163,Zeke Sinicola,Zeke,Sinicola,False
3852,1629686,Deividas Sirvydis,Deividas,Sirvydis,False
3853,78164,Charlie Sitton,Charlie,Sitton,False
3854,203491,Peyton Siva,Peyton,Siva,False
3855,101,Scott Skiles,Scott,Skiles,False
3856,78167,Al Skinner,Al,Skinner,False
3857,1730,Brian Skinner,Brian,Skinner,False
3858,78168,Talvin Skinner,Talvin,Skinner,False
3859,78169,Whitey Skoog,Whitey,Skoog,False
3860,78170,Jeff Slade,Jeff,Slade,False
3861,1073,Reggie Slater,Reggie,Slater,False
3862,78171,Jim Slaughter,Jim,Slaughter,False
3863,78172,Jose Slaughter,Jose,Slaughter,False
3864,2447,Tamar Slay,Tamar,Slay,False
3865,202388,Donald Sloan,Donald,Sloan,False
3866,78173,Jerry Sloan,Jerry,Sloan,False
3867,101166,Uros Slokar,Uros,Slokar,False
3868,78174,Tom Sluby,Tom,Sluby,False
3869,1629346,Alen Smailagic,Alen,Smailagic,False
3870,1630606,Javonte Smart,Javonte,Smart,True
3871,78175,Keith Smart,Keith,Smart,False
3872,203935,Marcus Smart,Marcus,Smart,True
3873,78176,Belus Smawley,Belus,Smawley,False
3874,78177,Jack Smiley,Jack,Smiley,False
3875,78178,Adrian Smith,Adrian,Smith,False
3876,78207,Bill Smith,Bill,Smith,False
3877,78209,Bill Smith,Bill,Smith,False
3878,78202,Bingo Smith,Bingo,Smith,False
3879,78203,Bobby Smith,Bobby,Smith,False
3880,293,Charles Smith,Charles,Smith,False
3881,1520,Charles Smith,Charles,Smith,False
3882,78179,Charles Smith,Charles,Smith,False
3883,1814,Chris Smith,Chris,Smith,False
3884,203147,Chris Smith,Chris,Smith,False
3885,1630607,Chris Smith,Chris,Smith,True
3886,78181,Clinton Smith,Clinton,Smith,False
3887,200783,Craig Smith,Craig,Smith,False
3888,78182,Deb Smith,Deb,Smith,False
3889,78183,Derek Smith,Derek,Smith,False
3890,78184,Don Smith,Don,Smith,False
3891,78185,Donald Smith,Donald,Smith,False
3892,2764,Donta Smith,Donta,Smith,False
3893,475,Doug Smith,Doug,Smith,False
3894,1630696,Dru Smith,Dru,Smith,True
3895,78187,Ed Smith,Ed,Smith,False
3896,78188,Elmore Smith,Elmore,Smith,False
3897,78189,Garfield Smith,Garfield,Smith,False
3898,78190,Greg Smith,Greg,Smith,False
3899,202962,Greg Smith,Greg,Smith,False
3900,202397,Ish Smith,Ish,Smith,True
3901,2747,JR Smith,JR,Smith,False
3902,2074,Jabari Smith,Jabari,Smith,False
3903,1630188,Jalen Smith,Jalen,Smith,True
3904,201160,Jason Smith,Jason,Smith,False
3905,202536,Jerry Smith,Jerry,Smith,False
3906,78191,Jim Smith,Jim,Smith,False
